,NACL60,NACL20,NACL100,HN,Fermentation_9h,Fermentation_19h,Fermentation_30h,MU
TD01GL001713,4.8599857276540735e-08,6.870941697964192e-08,4.771746100426602e-09,1.4166273694451454e-07,,,,
TD01GL001715,1.5556913501081597e-06,,1.958373450334385e-08,1.4571065342215643e-06,3.936630498300934e-07,1.0883126127771826e-06,2.4622666783649676e-06,6.37e-07
TD01GL001716,1.0167203277335812e-06,,,7.205577738464596e-07,3.2797407508062457e-07,7.009491420285845e-07,8.007981438648316e-07,1.36e-07
TD01GL001721,,,8.097239304135076e-09,,,,,
TD01GL001722,,,,4.661676706891794e-08,,,,
TD01GL001724,2.7796801826685816e-07,,9.161646450428054e-08,3.5359960436463173e-07,2.767338044113198e-07,2.702215318436639e-07,1.9003696228473965e-07,2.96e-07
TD01GL001725,9.727100671908611e-05,1.676361462239936e-05,1.2782157632210066e-05,9.982885992459089e-05,2.789990768682695e-05,5.0857106170405845e-05,7.045569351438346e-05,5.21e-06
TD01GL001726,1.3522338963102253e-08,,,,,,,1.8899999999999999e-07
TD01GL001727,9.064040110392297e-06,7.668944206487087e-06,3.434262042970994e-06,9.206376083949938e-06,5.2620745586440434e-06,3.902928294585774e-06,5.951107699151763e-06,1.61e-06
TD01GL001729,1.503979397364831e-05,3.7136122856800378e-06,4.2739860076418e-06,1.353579592002345e-05,1.0239281751402457e-05,4.1796740420527655e-06,3.7588376300784694e-06,1.15e-05
TD01GL001730,1.0556280526505484e-06,4.6135457920653355e-07,3.2060939577014754e-07,1.2996098494632055e-06,9.199711013428101e-07,7.770558167122738e-07,5.504940998402249e-07,1.44e-07
TD01GL001731,1.3204256922566854e-06,4.1085923015615987e-07,3.3028704628365165e-07,1.447864343235648e-06,1.046440037634653e-06,8.337187360761853e-07,8.010642021863271e-07,1.43e-07
TD01GL001732,1.1308427143769657e-05,5.166091462849538e-07,1.6033749338711998e-06,1.075882084384039e-05,3.4981839501748346e-06,8.462500276456395e-06,9.89213124456318e-06,3.4899999999999996e-07
TD01GL001734,,4.962248905011415e-07,3.097198166462942e-07,,,,,
TD01GL001736,1.9765530367268537e-05,1.1590279319180365e-05,8.528935581018428e-06,1.8358998203163254e-05,1.3990478872286463e-05,1.093827869484445e-05,1.135457601026445e-05,5.92e-07
TD01GL001737,2.78418349490119e-06,7.620750991203006e-07,1.0029055576937641e-06,3.0228942653721606e-06,2.2645305448626716e-06,1.2729850775496036e-06,1.8282549753040518e-06,2.06e-06
TD01GL001738,1.0594546636024034e-06,9.715321356198707e-07,5.595601886427259e-07,1.3259671294458527e-06,1.62949079068023e-06,5.976652478873071e-07,3.679386934901331e-07,3.42e-07
TD01GL001739,,,,,,,,1.37e-07
TD01GL001740,7.808454864598648e-05,3.0029440031786528e-05,2.9395383192243167e-05,6.823296750820701e-05,3.642635381716291e-05,3.830603502340916e-05,4.820713468244982e-05,1.75e-06
TD01GL001741,1.6268869191906785e-06,9.25580052413289e-07,9.003919493073276e-07,1.7770973323271448e-06,1.0670256461862992e-06,1.2023760825543985e-06,1.0002352834357992e-06,
TD01GL001742,3.8841774401655944e-07,6.769912475669502e-08,1.0697761090425604e-07,4.445995456937607e-07,2.5052900707435e-07,2.351654479869132e-07,3.222995732574634e-07,
TD01GL001743,7.300750252235617e-06,1.444736105592777e-06,1.3128136665194082e-06,6.94445941010703e-06,2.85058577966562e-06,4.532371620683951e-06,5.752462969094536e-06,5.54e-07
TD01GL001745,5.484183902997906e-07,6.61090102936767e-07,1.7944202925719155e-07,6.132191754302712e-07,4.774091809783103e-07,4.6751692252043965e-07,4.1993289856794364e-07,1.1599999999999999e-07
TD01GL001746,6.015148975173922e-07,2.7708152318689465e-07,2.1816132248368564e-07,8.024226721117472e-07,6.638857538510862e-07,4.6869599764646427e-07,5.168403920213584e-07,
TD01GL001747,1.2118166598393982e-06,,1.5247686679005483e-07,9.537658676364235e-07,5.003996234311159e-07,1.3368798168664837e-06,2.591971031682484e-06,2.37e-07
TD01GL001749,4.39956165788453e-08,4.596643507278191e-08,1.423527694010186e-08,4.848700751329238e-08,4.030507141392059e-08,7.005216857139519e-08,7.909271535533494e-08,
TD01GL001751,2.943672778330962e-07,,1.1177622853859489e-07,3.197776367622929e-07,3.474130263471983e-07,3.402934311752249e-07,3.13771853562621e-07,5.420000000000001e-07
TD01GL001752,,,,8.470446378434929e-07,,,,1.43e-06
TD01GL001753,5.421000731367329e-07,,1.9513906783949561e-07,4.929721094945111e-07,5.956355316647165e-07,2.9453529723538847e-07,3.3985638046399975e-07,6.8e-07
TD01GL001755,3.3894332028987205e-07,2.7856558592567935e-08,7.919716928018612e-08,4.427262503628242e-07,1.5471460857248223e-07,3.586921595005047e-07,2.823510776165976e-07,2.17e-07
TD01GL001756,5.6223192314783776e-08,,1.6299005119786156e-08,6.918284328554671e-08,,,,
TD01GL001759,1.3811567541017719e-08,,,,,,,
TD01GL001760,,,,1.5973298141022872e-08,,,,
TD01GL001762,1.2786448192144416e-06,7.581844817299221e-08,2.833288275191603e-07,1.4897359524943853e-06,7.651454185928543e-07,6.273030622071326e-07,1.0740694781439558e-06,2.3199999999999999e-07
TD01GL001763,1.1588993839710709e-07,2.5741445785449705e-07,8.398461076700588e-08,1.9148737267744409e-07,2.0978620840714437e-07,1.9406542725151232e-07,7.48594163246376e-08,
TD01GL001764,8.977240076628351e-08,1.6528663968810623e-08,2.0781682623797445e-08,1.070220402332616e-07,4.1574001884621e-08,6.896340359656374e-08,4.677753977788313e-08,
TD01GL001766,7.553865622263374e-08,,1.453042922151762e-08,6.252015528626386e-08,,,,
TD01GL001767,6.94493747506673e-08,2.1568605735659575e-08,7.910156317161052e-08,1.895800358903148e-07,,,,
TD01GL001768,,3.651555260153344e-08,6.253226129319957e-09,,,,,
TD01GL001769,1.0320535555737657e-06,1.618480998303093e-07,4.273408001821448e-07,1.188708613520003e-06,1.0923221886347181e-06,1.3039755219334347e-06,1.272290043518951e-06,2.28e-07
TD01GL001771,,,1.3171192100428601e-08,9.393357505732757e-08,,,,
TD01GL001772,2.0762851718713648e-07,6.419000543386097e-08,6.414331066152616e-08,2.668877229636866e-07,1.8467423269587883e-07,1.7265259230356174e-07,3.927641160874328e-08,
TD01GL001773,2.346385522042949e-08,3.983110773088641e-08,3.238929559235806e-08,,,,,
TD01GL001774,4.062720091974383e-06,3.0328538616403196e-07,1.1618771658634846e-06,2.15696992343328e-06,1.9735803960623553e-06,2.436319129610509e-06,2.3713091424932154e-06,2.15e-06
TD01GL001775,8.807268185747478e-07,3.2994577414160854e-07,2.3379910393159597e-07,1.0798813019483398e-06,5.624112504338276e-07,6.191301576969556e-07,5.318945001816818e-07,7.15e-08
TD01GL001776,1.6615445089753955e-07,,,2.3624298756613463e-07,1.2638107904855012e-07,1.0654736603915649e-07,2.267737968589176e-07,
TD01GL001777,1.631308867619782e-07,,6.909310002146482e-09,1.5874192213271036e-07,1.062506562906127e-07,8.649857858187287e-08,9.244650162237957e-08,
TD01GL001779,2.9483567848692383e-07,1.1651203573611265e-07,1.9302802291422614e-07,3.1865939371067233e-07,1.7321314627910866e-07,1.9400441803137368e-07,1.8419545899300019e-07,1.2699999999999999e-07
TD01GL001781,6.637332623561659e-08,1.7364249500793866e-08,1.56484584046323e-08,7.25917315504816e-08,7.283263072995487e-08,4.817753354219578e-08,4.18340212976494e-08,
TD01GL001782,4.77092127909862e-08,,9.086482918717067e-09,7.477521871895569e-08,,,,
TD01GL001783,6.425233869835788e-08,1.841037577397221e-08,4.5569560385809335e-08,1.4548169766293043e-07,,,,
TD01GL001784,3.11561994001908e-07,,1.2928011728189667e-07,4.237589925955122e-07,3.1984181564226554e-07,1.2155024171115648e-07,1.345928198302232e-07,
TD01GL001794,,,,,,,,
TD01GL001795,,6.697038910552014e-08,,,,,,
TD01GL001800,2.1456931641248146e-07,,5.360296384364106e-08,4.1411730885935636e-07,1.607548231448384e-07,2.916490694466817e-07,3.119861001717511e-07,
TD01GL001806,4.486150756627099e-06,3.260753685098876e-08,7.267240226184821e-07,4.388261263917244e-06,4.345821820945381e-06,3.235856571238487e-06,2.3370130114310946e-06,1.05e-07
TD01GL001810,2.050468377758069e-08,,,2.336161965010666e-08,7.929865086755843e-09,4.699343156977653e-08,4.579078921772507e-08,
TD01GL001814,5.811138398278151e-08,,1.8319252514564777e-08,1.2568765923684308e-07,8.389073990589178e-08,1.0996291652904058e-07,5.4555696176890474e-08,
TD01GL001816,1.3546479337346442e-06,,7.837847993199016e-08,1.2576219610308606e-06,1.111921648481727e-07,5.681858576841404e-07,1.0025268988010464e-06,9.16e-08
TD01GL001817,1.22595286189758e-07,,4.158149828732672e-08,1.0754568867767421e-07,,,,
TD01GL001819,1.9983425960942652e-07,,3.900697735700385e-08,1.944666289880239e-07,,,,
TD01GL001821,1.285504121655863e-07,,,1.3195402520914115e-07,2.7544724007581227e-08,2.0200157408266843e-07,2.0991155744844327e-07,2.23e-07
TD01GL001823,9.307841731245347e-08,,3.539743285698465e-08,1.493596299256776e-07,,,,
TD01GL001826,7.909064744504017e-08,,2.4205000243715897e-08,1.0543081592949574e-07,,,,
TD01GL001827,9.583490359154392e-08,,1.1112833749537916e-08,1.4586467109338148e-07,4.5515569269219854e-08,1.2852677577068786e-07,9.977311063014191e-08,
TD01GL001828,1.9926095530286446e-07,,,2.5769008292970956e-07,,,,
TD01GL001829,,,,,,,,6.32e-08
TD01GL001830,1.3002577170661278e-06,1.8767858141974205e-07,2.5151736578807436e-07,1.7591541163960347e-06,9.729669522808776e-07,1.2596390418373982e-06,1.3652362434776605e-06,3.2e-07
TD01GL001833,1.0455471940491928e-06,2.8170145004765917e-08,1.5814263892478816e-07,1.008676103097047e-06,3.52028213773886e-07,4.818428805139973e-07,4.677328520393415e-07,
TD01GL001834,,,2.3712473990897086e-08,,,,,
TD01GL001835,4.039990347865225e-08,,5.209117666882218e-08,7.536622334074836e-08,,,,
TD01GL001836,3.206715145536949e-06,4.7131256712133985e-07,2.142995590263348e-07,3.6991091003978173e-06,1.5355355005064192e-06,1.5015436938845107e-06,6.654764103739054e-07,2.55e-07
TD01GL001837,1.973227789918301e-06,3.808883955473872e-07,1.584726980522319e-07,2.6029203164267904e-06,9.570842297696156e-07,9.858083401480069e-07,5.793513878297931e-07,5.81e-07
TD01GL001839,1.0611339144866705e-07,8.052883982909213e-08,5.377121805737206e-08,1.4642068457364912e-07,1.7759253448878338e-07,1.3724784317569613e-07,1.1809907300281399e-07,
TD01GL001841,2.073126622922512e-06,1.077502738769283e-06,1.0723833590562078e-06,1.7560286296642112e-06,1.6196031182847767e-06,1.2906249839422548e-06,1.1741952399253927e-06,
TD01GL001842,1.2570546314144095e-08,1.1249283516282702e-07,1.1067332142119672e-08,2.7906227928607168e-08,5.868722666809983e-08,3.4986596069617874e-08,6.27583155545388e-08,
TD01GL001843,,,2.9194477335790197e-09,,,,,
TD01GL001844,1.4547445006042444e-06,2.9372760070535716e-07,2.580005804575555e-07,1.5780162520170561e-06,1.3502454919227274e-06,1.1048113019121425e-06,9.633359200946365e-07,
TD01GL001846,1.1746069814548247e-06,5.617037736180165e-07,3.006431536719408e-07,1.3932937252500525e-06,6.918057811124989e-07,8.86786068727549e-07,5.760261734318498e-07,1.2199999999999998e-07
TD01GL001847,3.152300926533385e-07,7.519341756734376e-08,6.755781011273172e-08,4.118288537719328e-07,2.417510693142847e-07,1.237900013982755e-07,1.402309135064525e-07,2.3e-07
TD01GL001848,,3.4237667966575364e-08,,,,,,
TD01GL001849,3.0173704467152256e-07,2.0416463753979113e-07,5.0849113121215306e-08,3.059205842277333e-07,1.8049116962883345e-07,1.7907936409056546e-07,9.708763610782866e-08,
TD01GL001850,1.1577168453512076e-06,7.838561482265449e-07,2.9663929652963665e-07,1.261255119777518e-06,6.030336468435781e-07,8.096827097867729e-07,5.116568691995127e-07,1.05e-07
TD01GL001856,2.471682588286621e-07,6.129573681194697e-08,,2.1274918283691143e-07,,,,
TD01GL001857,2.3860541726413177e-05,2.325107945296285e-06,6.808836502449441e-06,2.4179944386094933e-05,9.831066608222728e-06,1.0216178927340614e-05,1.6290134630670268e-05,2.19e-06
TD01GL001858,7.459084997365544e-06,1.0233010011971706e-06,3.6456924900522786e-06,8.207310523047345e-06,5.056733881631901e-06,4.103410744204963e-06,4.147202292852604e-06,6.5e-07
TD01GL001859,5.463737694516869e-07,4.327313782801184e-08,3.2881840147893644e-07,7.011693664945473e-07,5.085422816302527e-07,4.84850330480819e-07,6.428398390026627e-07,4.82e-07
TD01GL001861,5.025884791998186e-07,5.765787937195635e-08,1.823788333000823e-07,6.92182024107338e-07,1.2671633917547883e-07,4.6208525703224896e-07,2.932925936563067e-07,1.94e-07
TD01GL001862,9.320648229317994e-07,4.5889458277006036e-07,5.586596996600219e-07,1.157115786344327e-06,7.665021645593076e-07,6.20038927160063e-07,4.872304874414864e-07,
TD01GL001863,5.258025162321197e-07,5.239389893499105e-08,5.8543817985599487e-08,5.438711144904842e-07,,,,
TD01GL001864,1.6594131858320003e-07,,6.138571920935289e-08,3.7159079520387096e-07,8.232144173579588e-08,2.2214732249341304e-07,1.40880045393798e-07,
TD01GL001865,3.939497783220752e-07,2.9107231813333395e-08,7.82078853581718e-08,3.601248798841344e-07,2.2423490558969052e-07,3.758628935428701e-07,3.1517019637390253e-07,
TD01GL001866,2.3177999145951262e-07,5.638190415803702e-08,4.125675010200562e-08,2.7818859604421376e-07,1.595253616143162e-07,2.7191108903328647e-07,2.294434235956664e-07,
TD01GL001867,8.637276921422639e-07,1.2469007910935667e-07,1.9277006215194192e-07,9.952879869594762e-07,5.316285466451102e-07,8.92986094585605e-07,8.847047056709395e-07,
TD01GL001868,2.7617648491490504e-07,9.149447433697472e-08,6.378391646620765e-08,4.122731144259097e-07,4.0695757464610914e-07,1.6451881531085554e-07,1.9212237213725664e-07,7.19e-08
TD01GL001869,1.259856316366593e-06,3.712169282700525e-07,2.3016652265842683e-07,1.5712698266360086e-06,7.235143137131881e-07,5.836880478187786e-07,7.516336035683176e-07,9.9e-08
TD01GL001870,2.2854380954125824e-08,,,2.46215390667586e-08,5.0177813285623716e-08,2.2386222333476065e-08,1.339205548065526e-08,
TD01GL001871,3.3993936805672876e-06,5.288999826721462e-07,1.224140857742708e-06,3.822882751425831e-06,1.6663508254259132e-06,1.943366189011417e-06,2.552325017644596e-06,2.1100000000000002e-07
TD01GL001872,1.8284298612201063e-06,7.090693460757452e-07,5.484527686665423e-07,1.8908245933868547e-06,9.804801814479273e-07,1.2629756551370384e-06,9.554087667482973e-07,1.24e-07
TD01GL001873,1.0342111850339514e-05,7.560949756529112e-06,2.1812397726245723e-06,8.881592791530088e-06,4.445797192069441e-06,4.021067883244505e-06,3.8391511257651165e-06,7.979999999999999e-07
TD01GL001874,6.369513476062712e-06,9.08063854347645e-07,8.252398021630445e-07,6.078186300222539e-06,2.0224001808619828e-06,3.0665792585019766e-06,4.0114474941500535e-06,2.88e-07
TD01GL001875,1.5766249889873693e-07,5.147430469006177e-08,2.8600533971427626e-08,1.709193358524206e-07,7.842478553757871e-08,1.248747995323448e-07,9.424978820990994e-08,
TD01GL001876,5.932090297061286e-07,9.840474181602183e-08,1.116488627194383e-07,4.970549690604356e-07,,,,
TD01GL001877,7.294421105913546e-07,1.7672701717980686e-07,1.567124962808602e-07,8.350576759914089e-07,7.719929730981143e-07,9.955959099303784e-07,7.613885699302735e-07,
TD01GL001878,4.5956153869442975e-08,,1.609271020475915e-08,,,,,
TD01GL001879,2.918263015824829e-07,1.685457009765386e-07,5.450951125224146e-08,3.5198150359592564e-07,1.2902557602027162e-07,1.0582115876159882e-07,1.2744035514587885e-07,
TD01GL001880,6.788941239639133e-08,3.2341648699241546e-08,1.5852945463263007e-08,1.3042661433903588e-07,1.1758600506122281e-07,8.294427385803873e-08,1.0029133921885099e-07,
TD01GL001882,2.7598792043359066e-06,1.6215910800875348e-06,1.2759215042491895e-06,2.863282599693566e-06,2.072685900395251e-06,1.568349617666413e-06,1.4345057312979664e-06,1.04e-07
TD01GL001883,,,,,,,,1.6399999999999999e-07
TD01GL001884,4.974210707696698e-07,2.6921009766879466e-08,7.946725904980647e-08,5.943806674410285e-07,4.941657719170879e-07,3.151673664675997e-07,4.913381043698863e-07,2.3399999999999998e-08
TD01GL001887,2.5101222685038368e-08,,1.8534784242162747e-08,1.514788643800534e-08,,,,
TD01GL001888,3.3811416256827876e-07,,1.2603840905458345e-07,3.585426186250812e-07,2.713754440217874e-07,1.9009497989033013e-07,1.2022262227820113e-07,1.53e-07
TD01GL001889,,,,4.959028711219524e-08,,,,
TD01GL001890,6.454218374108106e-06,1.3353019156619112e-06,9.175061554991923e-07,7.111615224311281e-06,3.4326907149718616e-06,3.283349670161144e-06,3.5466264259804962e-06,4.81e-07
TD01GL001892,3.016064919932028e-07,6.286662334168222e-09,6.525007842603275e-08,3.2768783277512045e-07,1.3434278857098327e-07,1.6747818154905198e-07,1.1609398839402214e-07,1.11e-07
TD01GL001893,5.494046082669427e-07,,8.857009070014015e-08,6.628779015903242e-07,3.4742349085367673e-07,2.9786275522031955e-07,3.93328415932413e-07,2.08e-07
TD01GL001894,2.847178169731113e-06,2.643867784128369e-07,6.546156941592391e-07,4.019732213537568e-06,1.743609559870482e-06,1.6484710057887178e-06,1.5350443176631343e-06,
TD01GL001895,1.3922075931080013e-07,9.976682867605918e-08,1.4468073349774947e-07,2.2181901521341526e-07,4.247214945476168e-07,1.2070096081415092e-07,7.801716233920334e-08,
TD01GL001897,7.246118055557979e-07,2.253310560033861e-07,2.526603667139225e-07,6.939620533270809e-07,5.352794612013081e-07,4.7078638779036514e-07,4.872069231057143e-07,1.45e-07
TD01GL001898,1.541730050833685e-07,,4.3084972347148674e-08,,,,,
TD01GL001899,7.00559415671023e-07,8.093680084425771e-07,6.589312602540396e-07,2.3003611881616925e-06,7.970616884921772e-07,1.5641940548280283e-07,1.425954446637688e-07,7.28e-07
TD01GL001900,1.39524837995993e-07,6.574858783301753e-08,5.5971934896802074e-08,1.310040957303028e-07,9.30109701825197e-08,1.0818860155499679e-07,1.055646740685107e-07,3.14e-07
TD01GL001901,7.157787641504383e-07,2.887129288449917e-07,2.2213554506593592e-07,8.140976986185026e-07,6.222525930863777e-07,5.121282433700925e-07,5.073430899754707e-07,8.93e-08
TD01GL001902,4.362044333700041e-07,7.09087573876579e-08,9.936116230119326e-08,4.711463352639032e-07,4.728860449068623e-07,2.468475614022705e-07,3.0364551062546974e-07,
TD01GL001905,2.966240805226079e-07,3.935356979782479e-08,7.809732505354774e-08,4.0757873344738047e-07,3.7393397375752224e-07,3.1484075832029924e-07,2.7827069365678335e-07,1.52e-06
TD01GL001906,5.561283917915805e-06,3.9917276698773155e-07,6.62793991264235e-07,6.273664907895385e-06,2.617308060960912e-06,4.086769124237541e-06,4.66747492663914e-06,2.86e-07
TD01GL001908,1.4642957786918635e-07,,3.7753701259193414e-08,1.343243249728764e-07,,,,
TD01GL001909,5.84508097343806e-08,,,2.861211032999301e-08,,,,
TD01GL001910,1.3876987150665498e-05,2.638573522898861e-07,1.3918117643748719e-06,1.2328729486141116e-05,4.8835684718404725e-06,9.835172964156306e-06,1.5067509990287168e-05,2.1e-06
TD01GL001911,6.8590388778742144e-06,1.8634206826052187e-07,7.407430098384619e-07,6.437793731457595e-06,3.344352282994835e-06,5.158862017395356e-06,9.43266603616092e-06,1.08e-06
TD01GL001913,,,,8.889174717884039e-08,,,,
TD01GL001914,4.923176317202138e-07,1.4832675130414113e-07,8.769828205976552e-08,5.21101700643841e-07,2.3146289223994838e-07,5.150475726908508e-07,3.19008535608736e-07,1.57e-07
TD01GL001915,1.7458679210012937e-06,2.751351647846926e-07,5.895020106025364e-07,2.1401988699569243e-06,1.989256803472667e-06,1.0940415066592333e-06,1.3478977784938245e-06,2.37e-07
TD01GL001916,5.472086048669471e-07,,3.287459106078815e-07,5.796032303930482e-07,5.292516347506672e-07,5.495360225152424e-07,3.734956870563939e-07,1.38e-06
TD01GL001917,8.69591528481563e-06,1.5169099450595276e-06,3.591718723448288e-06,7.83879276719357e-06,3.5907767792517095e-06,4.490029607194374e-06,5.254941471371752e-06,9.770000000000001e-07
TD01GL001918,6.605447088152966e-07,4.611024458866481e-07,4.016616214616348e-07,9.531304287495505e-07,9.95439051098959e-07,4.012493101816022e-07,4.1754423611549303e-07,1.51e-07
TD01GL001919,,,3.4939963820447426e-09,,,,,
TD01GL001920,,3.373000849473535e-07,,,,,,1.12e-07
TD01GL001923,1.3195436438552645e-06,1.2289595431674295e-08,1.2941823642746093e-08,1.4437429565537732e-06,3.219976301640309e-07,1.1642579532757768e-06,9.58692451348135e-07,5.3499999999999996e-08
TD01GL001924,,,,,,,,1.3e-06
TD01GL001925,1.8697696515732605e-08,,7.315874290741181e-09,,9.295186246613985e-08,6.263620046777405e-08,4.061980968114173e-08,
TD01GL001930,4.826907139737192e-08,1.653978433951314e-08,,,,,,
TD01GL001971,4.6319640032310483e-07,9.726425219768181e-08,1.2924713364215794e-07,5.49404022609681e-07,2.912892328117846e-07,4.450504910394473e-07,3.9135795924561207e-07,1.59e-07
TD01GL001978,7.61482120204638e-08,,1.9342973037565628e-08,7.929425216781002e-08,2.656764620387234e-08,1.8309708143899502e-08,9.891623638498993e-09,
TD01GL001987,5.437185667846643e-07,3.543344549129062e-08,1.1093298042445922e-07,5.60637136337901e-07,3.5304445020882617e-07,4.3740404686478035e-07,4.174705736474921e-07,
TD01GL001990,7.076751950341192e-06,7.329582647094588e-07,,7.570604215135457e-06,4.571921055408557e-06,7.2006321481116934e-06,6.305273979846691e-06,
TD01GL001992,,,5.1187623114410954e-09,,,,,
TD01GL001993,3.273845614334993e-08,,1.1341708519876566e-08,,,,,
TD01GL001995,3.412919142709873e-07,1.0891165765914697e-08,1.3041255500402186e-07,3.645449919046987e-07,3.01748456015387e-07,4.071881064113038e-07,4.893129054168098e-07,7.23e-08
TD01GL001996,2.154537834261107e-07,2.056940260376816e-07,1.7161012677957317e-07,3.8036648903870245e-07,5.960248474337896e-07,1.0106894122865026e-07,4.088508483590103e-08,
TD01GL001997,2.3620279489955596e-08,,8.44384216365142e-09,3.787420972475185e-08,,,,1.28e-08
TD01GL001998,2.7392579412278137e-06,5.576323769275705e-07,2.8763582807573275e-07,1.5729233220189171e-06,8.807581775643371e-07,1.3183304004554304e-06,1.0682235821205141e-06,
TD01GL002001,2.0516636749023708e-05,5.1863999533166406e-06,4.638027820219199e-06,1.9058757445356944e-05,8.87815352904674e-06,1.080653589724521e-05,1.2237852686183605e-05,2.96e-06
TD01GL002002,1.8497426284818716e-05,1.9488186167508232e-05,8.61641219804648e-06,1.8879336687295634e-05,1.4915722806935292e-05,1.0597275824840778e-05,1.0268939680229186e-05,6.34e-07
TD01GL002003,8.746405880230842e-07,2.469519110157906e-07,2.2234551810209267e-07,9.381284701425057e-07,5.77826632790934e-07,4.103792601569729e-07,5.389248892306242e-07,
TD01GL002004,1.2287290109322072e-06,3.083426563839907e-07,3.418526659358752e-07,1.2935397956324355e-06,9.37622547500231e-07,9.07286051205175e-07,9.393537515012026e-07,3.48e-07
TD01GL002005,1.1992166696035164e-06,5.455721315295242e-07,3.993097066895691e-07,1.3456895641919958e-06,1.1970357046782183e-06,9.083026666587661e-07,9.58213942991791e-07,1.73e-07
TD01GL002006,5.037653147010224e-07,4.081304777638301e-07,1.6344485955619128e-07,7.198117019025153e-07,9.294068340921172e-07,2.766479250134008e-07,5.039739981749295e-07,1.23e-07
TD01GL002007,6.716916575034303e-07,5.210522316211003e-07,2.7592250893556117e-07,8.247844825640753e-07,6.5540218764503e-07,5.117761213786144e-07,3.6680445470219845e-07,1.0699999999999999e-07
TD01GL002008,4.468655058631723e-07,,1.313474689445381e-07,4.3836318908643827e-07,2.0596502224315667e-07,3.269292354880834e-07,2.6808129526673305e-07,1.69e-07
TD01GL002009,2.082260805369305e-07,1.697896836134974e-07,1.0896632698276323e-07,2.7716697655788256e-07,2.7803106387870616e-07,1.979012908237242e-07,1.4052074459794294e-07,9.1e-08
TD01GL002010,3.800392972223445e-07,2.0482141927066746e-07,1.721831577637481e-07,4.31266254380447e-07,5.430686242999072e-07,3.2892924515745774e-07,1.8500798659274433e-07,1.42e-07
TD01GL002011,6.226681540807438e-06,1.1244444820590515e-06,1.248148347121982e-06,6.982433971186236e-06,2.5998451946588433e-06,4.6729682993546005e-06,5.057632988987732e-06,
TD01GL002012,2.029435317679767e-06,7.19170095155853e-07,5.632579130954723e-07,2.184314975679705e-06,1.1368292655760949e-06,1.4186099831165525e-06,1.1755156446891676e-06,1.32e-07
TD01GL002013,2.8619701182761895e-08,,1.663962439318043e-08,3.933382714000428e-08,4.207078700364115e-08,6.967784179173004e-08,3.2343249093048446e-08,
TD01GL002016,,,3.216739897474993e-08,5.117392566966576e-08,5.4988283773974566e-08,5.8069320977450555e-08,2.9526720133638582e-08,
TD01GL002020,6.776813567205233e-08,,1.822455435944634e-08,7.551753503923123e-08,1.1304941517354582e-07,7.372951627119176e-08,4.3736528726438244e-08,
TD01GL002023,3.697711231253534e-07,,3.186170114748223e-08,4.969706126874023e-07,,,,
TD01GL002024,2.1651885822663698e-08,,,3.371928056961661e-08,3.439618495196539e-08,7.035993908106629e-09,3.2178792503147954e-09,
TD01GL002026,,,,8.137207533174094e-09,,,,
TD01GL002028,,,2.451336420604702e-08,1.4132654525775474e-07,,,,
TD01GL002034,1.844499206456791e-08,,4.232606075897436e-09,3.0201563463384664e-08,,,,
TD01GL002035,1.1509846065962467e-06,2.0571810447482528e-07,4.031971360274637e-07,1.2890045320490385e-06,1.1322873780856343e-06,1.8258722268625934e-06,1.8437032593724534e-06,2.9699999999999997e-07
TD01GL002036,1.0091280182650325e-05,2.7605821810838143e-06,2.373106703646838e-06,1.0744531728959094e-05,6.257315330256894e-06,5.596215278510305e-06,6.585308562153115e-06,1.86e-06
TD01GL002037,2.0208374047071146e-07,,3.089566516265818e-08,2.3618064263769676e-07,,,,1.58e-07
TD01GL002038,3.1255058690750374e-06,1.3910928557870324e-06,5.632632998313851e-07,3.5929408833815114e-06,1.9245013195550266e-06,2.187398912410412e-06,2.055588649583504e-06,1.99e-07
TD01GL002039,3.823819520253666e-08,3.653617592820627e-08,8.139687439131585e-09,7.282330086751053e-08,,,,
TD01GL002040,1.8642183090435857e-05,5.3827818447073065e-06,4.217298665498198e-06,1.6292968827437068e-05,9.132732241273627e-06,1.0299037505773844e-05,1.2248648562077868e-05,1.22e-06
TD01GL002042,5.908969537094663e-06,1.2922193456332135e-06,1.0108210520684733e-06,6.103661187677561e-06,2.5497407076692914e-06,2.5991117807667675e-06,2.4915129597489413e-06,1.04e-06
TD01GL002043,7.190104636533472e-06,1.4052105964629656e-06,1.4461257759368163e-06,7.247070001438568e-06,3.4469439365007956e-06,3.752697892607436e-06,3.6266183443170527e-06,7.340000000000001e-07
TD01GL002044,3.327569626563618e-07,2.2725667995437217e-07,1.0139161878347612e-07,3.3645166465328086e-07,1.572262962148921e-07,3.431396558049525e-07,4.901734631143712e-08,1.68e-07
TD01GL002046,1.4319555731379875e-07,2.8191687205149495e-07,3.2463011020449e-08,1.6484357824087036e-07,2.700766606265292e-07,1.9894927143479905e-07,4.7164205236525765e-08,
TD01GL002047,,,,,,,,1.5199999999999998e-07
TD01GL002048,4.587311567915497e-06,3.9326535018006813e-07,9.890736855249719e-07,4.673662910794498e-06,2.055001487606852e-06,3.4909977397433545e-06,4.184034773989846e-06,6.38e-07
TD01GL002049,8.007527019737433e-07,3.39525139079591e-07,2.3573211502301775e-07,5.005104773436859e-07,5.927693128983631e-07,4.449947146569169e-07,5.340042776186787e-07,4.7299999999999996e-07
