metacyc	kegg
MANNITOL-2-DEHYDROGENASE-RXN	R00868
MANNITOL-2-DEHYDROGENASE-NADP+-RXN	R00870
FRUCTOSE-5-DEHYDROGENASE-NADP+-RXN	R00871
FRUCTOSE-5-DEHYDROGENASE-RXN	R00873
1.1.99.28-RXN	R00874
RXN-7644	R00875
MANNOSE-ISOMERASE-RXN	R00877
GLUCISOM-RXN	R00878
GDP-MANNOSE-6-DEHYDROGENASE-RXN	R00880
RXN0-5108	R00881
MANNPGUANYLTRANGDP-RXN	R00883
2.7.7.13-RXN	R00885
GDPMANDEHYDRA-RXN	R00888
RXN-1882	R00889
CYSTINE-REDUCTASE-NADH-RXN	R00892
CYSTEINE-DIOXYGENASE-RXN	R00893
GLUTCYSLIG-RXN	R00894
CYSTEINE-AMINOTRANSFERASE-RXN	R00895
ACSERLY-RXN	R00897
RXN-6622	R00899
GSCYSDEG-RXN	R00900
CYSTEINE-LYASE-RXN	R00901
RXN-12332	R00904
BETA-UREIDOPROPIONASE-RXN	R00905
BETA-ALANOPINE-DEHYDROGENASE-RXN	R00906
2.6.1.18-RXN	R00907
RXN-2901	R00908
N-ACETYL-BETA-ALANINE-DEACETYLASE-RXN	R00909
GUANIDINOPROPIONASE-RXN	R00913
ERYTHRONOLIDE-SYNTHASE-RXN	R00918
RXN-9087	R00919
PROPANOATECOA-LIGASE-RXN	R00920
PTAALT-RXN	R00921
1.2.1.27-RXN	R00922
METHYLMALONYL-COA-DECARBOXYLASE-RXN	R00923
PROPCOASYN-RXN	R00924
PROPIONATE--COA-LIGASE-RXN	R00925
METHYLACETOACETYLCOATHIOL-RXN	R00927
PROPIONATE-COA-TRANSFERASE-RXN	R00928
2.1.3.1-RXN	R00930
2-METHYLCITRATE-SYNTHASE-RXN	R00931
HYDGLUTSYN-RXN	R00932
RXN-8961	R00934
RXN-11213	R00935
DIHYDROFOLATEREDUCT-RXN	R00939
FORMYLTETRAHYDROFOLATE-DEHYDROGENASE-RXN	R00941
FORMATETHFLIG-RXN	R00943
FORMYLTHFDEFORMYL-RXN	R00944
GLYOHMETRANS-RXN	R00945
HOMOCYSMETB12-RXN	R00946
GLUC1PADENYLTRANS-RXN	R00948
PHOSPHOGLUCOKINASE-RXN	R00949
RXN-10770	R00951
CELLOBIOSE-PHOSPHORYLASE-RXN	R00952
LAMINARIBIOSE-PHOSPHORYLASE-RXN	R00953
2.7.7.34-RXN	R00954
GALACTURIDYLYLTRANS-RXN	R00955
2.7.7.33-RXN	R00956
MALTOSE-SYNTHASE-RXN	R00957
PHOSPHOGLUCMUT-RXN	R00959
RXN-14003	R00961
RXN-14025	R00963
URIDINEKIN-RXN	R00964
OROTPDECARB-RXN	R00965
URACIL-PRIBOSYLTRANS-RXN	R00966
URKI-RXN	R00968
URACIL-5-CARBOXYLATE-DECARBOXYLASE-RXN	R00973
CYTDEAM-RXN	R00974
DIHYDROURACIL-OXIDASE-RXN	R00975
URACIL-DEHYDROGENASE-RXN	R00976
DIHYDROURACIL-DEHYDROGENASE-NAD+-RXN	R00977
1.3.1.2-RXN	R00978
1.14.13.35-RXN	R00980
AMINOBENZCOALIG-RXN	R00982
23-DIHYDROXYINDOLE-23-DIOXYGENASE-RXN	R00983
ANTHRANILATE-N-METHYLTRANSFERASE-RXN	R00984
ANTHRANSYN-RXN	R00986
KYNURENINASE-RXN	R00987
ANTHRANILATE-N-MALONYLTRANSFERASE-RXN	R00989
RXN-7927	R00990
RXN-7745	R00994
RXN-7746	R00995
THREDEHYD-RXN	R00996
4.1.99.4-RXN	R00997
2-ETHYLMALATE-SYNTHASE-RXN	R00998
METBALT-RXN	R00999
RXN-15130	R01001
DOLICHYL-PHOSPHATASE-RXN	R01003
DOLICHYLDIPHOSPHATASE-RXN	R01004
2.4.1.117-RXN	R01005
3.1.4.48-RXN	R01006
2.7.8.15-RXN	R01007
2.4.1.153-RXN	R01008
2.4.1.83-RXN	R01009
RXN0-7249	R01010
GLYCERONE-KINASE-RXN	R01011
2.7.1.121-RXN	R01012
2.3.1.42-RXN	R01013
KETOTETROSE-PHOSPHATE-ALDOLASE-RXN	R01014
TRIOSEPISOMERIZATION-RXN	R01015
METHGLYSYN-RXN	R01016
DOLICHOL-KINASE-RXN	R01018
1.2.99.3-RXN	R01019
CHOLINE-KINASE-RXN	R01021
CHOLINE-OXIDASE-RXN	R01022
CHOLINE-O-ACETYLTRANSFERASE-RXN	R01023
CHD-RXN	R01025
ACETYLCHOLINESTERASE-RXN	R01026
CHOLINE-SULFOTRANSFERASE-RXN	R01027
CHOLINE-SULFATASE-RXN	R01028
CHOLINESTERASE-RXN	R01029
3.1.4.2-RXN	R01030
3-CHLORO-D-ALANINE-DEHYDROCHLORINASE-RXN	R01031
2-CHLOROBENZOATE-12-DIOXYGENASE-RXN	R01033
GLYCDEH-RXN	R01034
RXN-11709	R01036
GLYCEROL-2-DEHYDROGENASE-NADP+-RXN	R01039
GLYCEROL-DEHYDROGENASE-NADP+-RXN	R01041
GLYCEROL-2-PHOSPHATASE-RXN	R01043
2.7.1.79-RXN	R01044
GLYCEROL-DEHYDROGENASE-ACCEPTOR-RXN	R01045
GLYCEROL-DEHYDRATASE-RXN	R01047
PRPPSYN-RXN	R01049
PHOSPHORIBOKINASE-RXN	R01050
RIBOKIN-RXN	R01051
2.7.7.35-RXN	R01052
RIBOSE-5-PHOSPHATE--AMMONIA-LIGASE-RXN	R01053
RXN0-1441	R01054
RXN0-5398	R01055
RIB5PISOM-RXN	R01056
PPENTOMUT-RXN	R01057
1.2.1.9-RXN	R01058
TRIOKINASE-RXN	R01059
GAPOXNPHOSPHN-RXN	R01061
1.2.1.13-RXN	R01063
GAPDHSYNEC-RXN	R01063
DEHYDDEOXPHOSGALACT-ALDOL-RXN	R01064
DEOXYRIBOSE-P-ALD-RXN	R01066
2TRANSKETO-RXN	R01067
F16ALDOLASE-RXN	R01068
TAGAALDOL-RXN	R01069
ATPPHOSPHORIBOSYLTRANS-RXN	R01071
PRPPAMIDOTRANS-RXN	R01072
PRTRANS-RXN	R01073
RXN0-7192	R01074
BIOTIN--COA-LIGASE-RXN	R01075
BIOTINIDASE-RXN	R01076
2.8.1.6-RXN	R01078
RIBOSE-1-DEHYDROGENASE-NADP+-RXN	R01079
URIDINE-NUCLEOSIDASE-RXN	R01080
RIBOSE-ISOMERASE-RXN	R01081
FUMHYDR-RXN	R01082
AMPSYN-RXN	R01083
RXN-10445	R01085
ARGSUCCINLYA-RXN	R01086
MALEATE-ISOMERASE-RXN	R01087
LEUCINE-DEHYDROGENASE-RXN	R01088
LEUCINE-N-ACETYLTRANSFERASE-RXN	R01089
BRANCHED-CHAINAMINOTRANSFERLEU-RXN	R01090
LEUCINE-23-AMINOMUTASE-RXN	R01091
GALACTOKIN-RXN	R01092
GALACTODEHYDROG-RXN	R01094
RXN-12078	R01095
GALACTOSE-OXIDASE-RXN	R01099
BETAGALACTOSID-RXN	R01100
ALPHAGALACTOSID-RXN	R01101
RXN-11502	R01103
1.8.5.1-RXN	R01108
1.8.4.4-RXN	R01109
1.8.4.1-RXN	R01110
1.8.4.3-RXN	R01111
1.14.18.2-RXN	R01115
RXN-9990	R01117
DIPHOSPHOMEVALONTE-DECARBOXYLASE-RXN	R01121
RXN0-6274	R01122
IPPISOM-RXN	R01123
RXN-7607	R01126
IMPCYCLOHYDROLASE-RXN	R01127
INOSINATE-NUCLEOSIDASE-RXN	R01128
IMP-DEHYDROG-RXN	R01130
INOSINEKIN-RXN	R01131
HYPOXANPRIBOSYLTRAN-RXN	R01132
GMP-REDUCT-RXN	R01134
ADENYLOSUCCINATE-SYNTHASE-RXN	R01135
DADPKIN-RXN	R01137
RXN-14192	R01138
METHANE-MONOOXYGENASE-RXN	R01143
4-METHYLOXALOACETATE-ESTERASE-RXN	R01144
MONOMETHYL-SULFATASE-RXN	R01145
RXN0-5240	R01147
D-ALANINE-AMINOTRANSFERASE-RXN	R01148
D-ALANINE-GAMMA-GLUTAMYLTRANSFERASE-RXN	R01149
DALADALALIG-RXN	R01150
PUTRESCINE-OXIDASE-RXN	R01151
N-CARBAMOYLPUTRESCINE-AMIDASE-RXN	R01152
PUTRESCINE-N-METHYLTRANSFERASE-RXN	R01153
RXN-0	R01154
PUTTRANSAM-RXN	R01155
ACETYLPUTRESCINE-DEACETYLASE-RXN	R01156
AGMATIN-RXN	R01157
RXN-8001	R01158
HISTIDINE-N-ACETYLTRANSFERASE-RXN	R01160
HISTTRANSAM-RXN	R01161
HISTALDEHYD-RXN	R01163
CARNOSINE-SYNTHASE-RXN	R01164
3.4.13.20-RXN	R01166
HISTIDINE-DECARBOXYLASE-RXN	R01167
HISTIDINE-AMMONIA-LYASE-RXN	R01168
RXN-12558	R01171
BUTANAL-DEHYDROGENASE-RXN	R01173
PHOSPHATE-BUTYRYLTRANSFERASE-RXN	R01174
RXN-19193	R01176
RXN-12565	R01177
BUTYRYL-COA-DEHYDROGENASE-RXN	R01178
R11-RXN	R01179
3-ETHYLMALATE-SYNTHASE-RXN	R01180
ISOBUTYRYL-COA-MUTASE-RXN	R01181
MYO-INOSITOL-2-DEHYDROGENASE-RXN	R01183
MYO-INOSITOL-OXYGENASE-RXN	R01184
RXN0-5408	R01185
RXN-10952	R01186
MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN	R01187
MYO-INOSITOL-3-O-METHYLTRANSFERASE-RXN	R01188
MYO-INOSITOL-1-O-METHYLTRANSFERASE-RXN	R01189
2.1.1.129-RXN	R01190
2.4.1.123-RXN	R01192
3.1.4.44-RXN	R01193
1.18.1.2-RXN	R01195
PYFLAVOXRE-RXN	R01196
PYRUFLAVREDUCT-RXN	R01196
2-OXOGLUTARATE-SYNTHASE-RXN	R01197
2-OXOBUTYRATE-SYNTHASE-RXN	R01199
N-ACETYLGLUCOSAMINE-DEACETYLASE-RXN	R01200
N-ACETYLGLUCOSAMINE-KINASE-RXN	R01201
N-ACETYLHEXOSAMINE-1-DEHYDROGENASE-RXN	R01202
N-ACYLHEXOSAMINE-OXIDASE-RXN	R01203
GLUCOSAMINE-N-ACETYLTRANSFERASE-RXN	R01204
N-ACETYLLACTOSAMINE-SYNTHASE-RXN	R01205
R381-RXN	R01207
RXN-16006	R01207
1.2.1.25-RXN	R01210
DIMETHYLMALATE-DEHYDROGENASE-RXN	R01211
VALINE-DEHYDROGENASE-NADP+-RXN	R01212
2-ISOPROPYLMALATESYN-RXN	R01213
BRANCHED-CHAINAMINOTRANSFERVAL-RXN	R01214
VALINE-PYRUVATE-AMINOTRANSFER-RXN	R01215
KETOPANTOALDOLASE-RXN	R01216
RXN-5061	R01217
1.5.1.15-RXN	R01218
METHYLENETHFDEHYDROG-NADP-RXN	R01220
GCVMULTI-RXN	R01221
D-ALANINE-HYDROXYMETHYLTRANSFERASE-RXN	R01225
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN	R01226
RXN-7609	R01227
GUANOSINEKIN-RXN	R01228
GUANPRIBOSYLTRAN-RXN	R01229
GMP-SYN-NH3-RXN	R01230
GMP-SYN-GLUT-RXN	R01231
3.6.1.17-RXN	R01232
35-CYCLIC-GMP-PHOSPHODIESTERASE-RXN	R01234
THIOL-S-METHYLTRANSFERASE-RXN	R01235
THIOL-SULFOTRANSFERASE-RXN	R01236
RXN-9946	R01237
4-HYDROXYBENZOATE-DECARBOXYLASE-RXN	R01238
PHENOL-O-METHYLTRANSFERASE-RXN	R01239
PHENOL-BETA-GLUCOSYLTRANSFERASE-RXN	R01240
ARYL-SULFOTRANSFERASE-RXN	R01242
ARYLSULFAT-RXN	R01243
ADENINE-DEAMINASE-RXN	R01244
ADENOSINE-NUCLEOSIDASE-RXN	R01245
PYRROLINECARBREDUCT-RXN	R01248
PYRROLINE-2-CARBOXYLATE-REDUCTASE-RXN	R01249
PYRROLINECARBREDUCT-RXN	R01251
RXN490-3641	R01252
RXN-14903	R01253
PROLINE-RACEMASE-RXN	R01255
MALATE--COA-LIGASE-RXN	R01256
L-AMINO-ACID-DEHYDROGENASE-RXN	R01258
L-AMINO-ACID-OXIDASE-RXN	R01259
ALANINE--OXO-ACID-AMINOTRANSFERASE-RXN	R01261
AMINOACYLASE-RXN	R01263
N-METHYL-L-AMINO-ACID-OXIDASE-RXN	R01264
AMINO-ACID-RACEMASE-RXN	R01265
3.2.2.11-RXN	R01266
3-CYANOALANINE-HYDRATASE-RXN	R01267
NICOTINAMID-RXN	R01268
NICOTINAMIDE-N-METHYLTRANSFERASE-RXN	R01269
NMNNUCLEOSID-RXN	R01270
2.4.2.12-RXN	R01271
RXN-8441	R01273
PALMITOYL-COA-HYDROLASE-RXN	R01274
1.2.1.42-RXN	R01277
RXN-9623	R01280
SERINE-C-PALMITOYLTRANSFERASE-RXN	R01281
HOMOCYSTEINE-DESULFHYDRASE-RXN	R01283
ACETYLHOMOSER-CYS-RXN	R01287
RXN-9384	R01288
CYSTATHIONINE-BETA-SYNTHASE-RXN	R01290
RIBOSYLHOMOCYSTEINASE-RXN	R01291
1.8.4.1-RXN	R01292
HYDROXYBENZALDEHYDE-OXIDATION-NAD-RXN	R01293
HYDROXYBENZALDEHYDE-OXIDATION-NADP-RXN	R01294
BENZOATE-4-MONOOXYGENASE-RXN	R01295
4-HYDROXYBENZOATE-3-MONOOXYGENASE-RXN	R01298
1.14.13.64-RXN	R01299
4-HYDROXYBENZOATE--COA-LIGASE-RXN	R01300
3.1.2.23-RXN	R01301
CHORPYRLY-RXN	R01302
2.4.1.194-RXN	R01304
1.13.11.41-RXN	R01305
1.14.99.15-RXN	R01306
4-CHLOROBENZOATE-DEHALOGENASE-RXN	R01307
PHOSCHOL-RXN	R01310
PHOSPHOLIPASE-C-RXN	R01312
PHOSPHOLIPASE-A2-RXN	R01313
PHOSPHOLIPASE-A1-RXN	R01314
2.3.1.23-RXN	R01318
2.3.1.62-RXN	R01319
RXN-5781	R01321
CITRATE--COA-LIGASE-RXN	R01322
2.8.3.10-RXN	R01323
RXN-14047	R01324
ACONITATEDEHYDR-RXN	R01325
MANNKIN-RXN	R01326
3.1.4.49-RXN	R01328
GLYCOLALD-DEHYDROG-RXN	R01333
GPH-RXN	R01334
CARBOXYMETHYLOXYSUCCINATE-LYASE-RXN	R01336
2-OXOALDEHYDE-DEHYDROGENASE-NAD+-RXN	R01337
2-OXOALDEHYDE-DEHYDROGENASE-NADP+-RXN	R01338
D-AMINO-ACID-OXIDASE-RXN	R01340
S-2-HYDROXY-ACID-OXIDASE-RXN	R01341
ORNITHINE--OXO-ACID-AMINOTRANSFERASE-RXN	R01343
2.6.1.14-RXN	R01346
FATTY-ACID-O-METHYLTRANSFERASE-RXN	R01349
3.1.1.23-RXN	R01351
PROPKIN-RXN	R01353
23-DIMETHYLMALATE-LYASE-RXN	R01355
ACETOACETATE--COA-LIGASE-RXN	R01357
ACETOACETYL-COA-HYDROLASE-RXN	R01358
ACETOACETYL-COA-TRANSFER-RXN	R01359
HYDROXYMETHYLGLUTARYL-COA-LYASE-RXN	R01360
3-HYDROXYBUTYRATE-DEHYDROGENASE-RXN	R01361
FUMARYLACETOACETASE-RXN	R01364
2.8.3.9-RXN	R01365
ACETOACETATE-DECARBOXYLASE-RXN	R01366
2-ACYLGLYCEROL-O-ACYLTRANSFERASE-RXN	R01368
TRIACYLGLYCEROL-LIPASE-RXN	R01369
RXN-10815	R01372
PREPHENATEDEHYDRAT-RXN	R01373
2.6.1.64-RXN	R01375
2.6.1.28-RXN	R01376
PHENYLPYRUVATE-DECARBOXYLASE-RXN	R01377
PHENYLPYRUVATE-TAUTOMERASE-RXN	R01378
2.7.7.44-RXN	R01381
UDP-GLUCURONOSYLTRANSFERASE-RXN	R01383
UDP-GLUCURONATE-DECARBOXYLASE-RXN	R01384
UDP-GLUCURONATE-4-EPIMERASE-RXN	R01385
RXN-7770	R01386
UDP-GLUCURONATE-5-EPIMERASE-RXN	R01387
GLYCERATE-DEHYDROGENASE-RXN	R01388
HYDROXYPYRUVATE-REDUCTASE-RXN	R01388
RXN0-300	R01392
HYDROXYPYRUVATE-DECARBOXYLASE-RXN	R01393
RXN0-305	R01394
RXN-14196	R01395
LYSINE-CARBAMOYLTRANSFERASE-RXN	R01396
ASPCARBTRANS-RXN	R01397
ORNCARBAMTRANSFER-RXN	R01398
PUTRESCINE-CARBAMOYLTRANSFERASE-RXN	R01399
METHYLTHIOADENOSINE-NUCLEOSIDASE-RXN	R01401
5-METHYLTHIOADENOSINE-PHOSPHORYLASE-RXN	R01402
ENOYL-ACP-REDUCT-NADH-RXN	R01403
ENOYL-ACP-REDUCT-NADPH-RXN	R01404
CYANIDE-HYDRATASE-RXN	R01408
RXN-14197	R01411
THYMINE-DIOXYGENASE-RXN	R01412
RXN-8646	R01413
RXN0-6565	R01414
RXN-11209	R01415
AGMATINE-DEIMINASE-RXN	R01416
AGMATINE-KINASE-RXN	R01417
DIGUANIDINOBUTANASE-RXN	R01418
BENZALDEHYDE-DEHYDROGENASE-NAD+-RXN	R01419
BENZALDEHYDE-DEHYDROGENASE-NADP+-RXN	R01420
BENZOATE--COA-LIGASE-RXN	R01422
HIPPURATE-HYDROLASE-RXN	R01424
ACYLAGMATINE-AMIDASE-RXN	R01425
RXN-9336	R01426
D-XYLOSE-1-DEHYDROGENASE-RXN	R01429
D-XYLOSE-1-DEHYDROGENASE-NADP+-RXN	R01430
RXN-8773	R01431
XYLISOM-RXN	R01432
RXN-13184	R01434
VALINE-DECARBOXYLASE-RXN	R01437
FORMALDEHYDE-TRANSKETOLASE-RXN	R01440
BETA-GLUCOSIDE-KINASE-RXN	R01441
CELLOBIOSE-DEHYDROGENASE-ACCEPTOR-RXN	R01443
CELLOBIOSE-EPIMERASE-RXN	R01445
LACTALDDEHYDROG-RXN	R01446
LACTATE-MALATE-TRANSHYDROGENASE-RXN	R01447
D-LACTATE-2-SULFATASE-RXN	R01448
PROPIONLACT-RXN	R01449
LACTATE-RACEMASE-RXN	R01450
RXN66-323	R01456
RXN66-28	R01457
CHOLESTEROL-OXIDASE-RXN	R01459
RXN-12778	R01459
STERYL-BETA-GLUCOSIDASE-RXN	R01460
STEROL-O-ACYLTRANSFERASE-RXN	R01461
CHOLESTEROL-7-ALPHA-MONOOXYGENASE-RXN	R01463
THREODEHYD-RXN	R01465
THRESYN-RXN	R01466
THREONINE-RACEMASE-RXN	R01467
ETHANOLAMINE-KINASE-RXN	R01468
ETHANOLAMINE-OXIDASE-RXN	R01469
RXN-14160	R01470
2.7.7.11-RXN	R01471
2.4.2.32-RXN	R01472
UDP-ARABINOSE-4-EPIMERASE-RXN	R01473
GLUCURONOKINASE-RXN	R01476
BETA-GLUCURONID-RXN	R01478
3.2.1.139-RXN	R01480
GLUCURONATE-REDUCTASE-RXN	R01481
GLUCUROISOM-RXN	R01482
RXN-14202	R01483
URONOLACTONASE-RXN	R01484
ASPARTYLTRANSFERASE-RXN	R01485
ARYL-ALDEHYDE-DEHYDROGENASE-RXN	R01486
ARYL-ALCOHOL-DEHYDROGENASE-RXN	R01487
ARYL-ALCOHOL-DEHYDROGENASE-NADP+-RXN	R01488
ARYL-ALDEHYDE-OXIDASE-RXN	R01489
1.2.1.30-RXN	R01490
ARYL-ALCOHOL-OXIDASE-RXN	R01491
COBALADENOSYLTRANS-RXN	R01492
CERAMIDASE-RXN	R01493
CERAMIDE-KINASE-RXN	R01495
SPHINGOSINE-N-ACYLTRANSFERASE-RXN	R01496
CERAMIDE-GLUCOSYLTRANSFERASE-RXN	R01497
GLUCOSYLCERAMIDASE-RXN	R01498
2.4.1.47-RXN	R01500
GLYCOSYLCERAMIDASE-RXN	R01501
DHBAMPLIG-RXN	R01504
DHBDEHYD-RXN	R01505
1.13.11.28-RXN	R01506
1.13.11.14-RXN	R01507
3-HYDROXYBENZOATE-2-MONOOXYGENASE-RXN	R01508
3-PHOSPHOGLYCERATE-PHOSPHATASE-RXN	R01511
PHOSGLYPHOS-RXN	R01512
PGLYCDEHYDROG-RXN	R01513
GLY3KIN-RXN	R01514
PHOSPHOGLYCERATE-KINASE-GTP-RXN	R01517
3PGAREARR-RXN	R01518
GLUCONOLACT-RXN	R01519
GLUCOSE-1-DEHYDROGENASE-NAD+-RXN	R01520
GLUCOSE-1-DEHYDROGENASE-NADP+-RXN	R01521
GLUCOSE-OXIDASE-RXN	R01522
PHOSPHORIBULOKINASE-RXN	R01523
RIBITOL-5-PHOSPHATE-2-DEHYDROGENASE-RXN	R01525
D-RIBULOKIN-RXN	R01526
RXN-9952	R01528
RIBULP3EPIM-RXN	R01529
DARAB5PISOM-RXN	R01530
NUCLEOTIDE-PYROPHOSPHATASE-RXN	R01532
DIISOPROPYL-FLUOROPHOSPHATASE-RXN	R01533
2.7.8.6-RXN	R01535
GLUCONATE-DEHYDRATASE-RXN	R01538
ALTRODEHYDRAT-RXN	R01540
DEOXYGLUCONOKIN-RXN	R01541
1.1.1.127-RXN	R01542
RXN-13040	R01543
4.3.1.21-RXN	R01544
DEOXYADENYLATE-KINASE-RXN	R01547
ISOPROPANOL-DEHYDROGENASE-NADP+-RXN	R01550
ACETONE-CYANHYDRIN-LYASE-RXN	R01553
MALTOSE-PHOSPHORYLASE-RXN	R01555
MALTACETYLTRAN-RXN	R01556
5.4.99.16-RXN	R01557
OXALATE--COA-LIGASE-RXN	R01558
OXALATE-COA-TRANSFERASE-RXN	R01559
ADENODEAMIN-RXN	R01560
ADENPHOSPHOR-RXN	R01561
RXN-14126	R01562
N-CARBAMOYLSARCOSINE-AMIDASE-RXN	R01563
DIMETHYLGLYCINE-OXIDASE-RXN	R01564
DIMETHYLGLYCINE-DEHYDROGENASE-RXN	R01565
CREATINASE-RXN	R01566
THYKI-RXN	R01567
ADP--THYMIDINE-KINASE-RXN	R01568
THYMIDYLATE-5-PHOSPHATASE-RXN	R01569
THYM-PHOSPH-RXN	R01570
AMP--THYMIDINE-KINASE-RXN	R01571
NUCLEOTIDASE-RXN	R01572
D-ARABINOKINASE-RXN	R01573
D-ARABINOSE-1-DEHYDROGENASE-RXN	R01574
RXN-8776	R01575
4.1.2.23-RXN	R01576
DARABISOM-RXN	R01577
D-GLUTAMINASE-RXN	R01579
PYRDAMPTRANS-RXN	R01580
3.5.1.82-RXN	R01581
D-GLUTAMATE-CYCLASE-RXN	R01583
N-METHYLALANINE-DEHYDROGENASE-RXN	R01584
GLUTAMATE--METHYLAMINE-LIGASE-RXN	R01585
2.1.1.21-RXN	R01586
N-METHYL-2-OXOGLUTARAMATE-HYDROLASE-RXN	R01587
1.5.8.1-RXN	R01588
METHYLGUANIDINASE-RXN	R01589
RXN-16678	R01590
ARACHIDONATE-15-LIPOXYGENASE-RXN	R01593
ARACHIDONATE-8-LIPOXYGENASE-RXN	R01594
ARACHIDONATE-5-LIPOXYGENASE-RXN	R01595
ARACHIDONATE-12-LIPOXYGENASE-RXN	R01596
ARACHIDONATE--COA-LIGASE-RXN	R01598
PROSTAGLANDIN-ENDOPEROXIDE-SYNTHASE-RXN	R01599
ALDOSE-1-EPIMERASE-RXN	R01602
MALONATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	R01607
3-HYDROXYPROPIONATE-DEHYDROGENASE-RXN	R01608
3-ACI-NITROPROPANOATE-OXIDASE-RXN	R01609
MALONATE-SEMIALDEHYDE-DEHYDRATASE-RXN	R01611
NARINGENIN-CHALCONE-SYNTHASE-RXN	R01613
RXN-87	R01614
RXN-1101	R01615
4-COUMARATE--COA-LIGASE-RXN	R01616
AGMATINE-N4-COUMAROYLTRANSFERASE-RXN	R01617
2.7.7.51-RXN	R01619
LYSINE-N-ACETYLTRANSFERASE-RXN	R01620
PHOSPHOKETOLASE-RXN	R01621
3.1.4.14-RXN	R01623
ACP-S-ACETYLTRANSFER-RXN	R01624
HOLO-ACP-SYNTH-RXN	R01625
MALONYL-COA-ACP-TRANSACYL-RXN	R01626
DHSHIKIMATE-DEHYDRO-RXN	R01627
3-HYDROXYBENZOATE-4-MONOOXYGENASE-RXN	R01628
PROTOCATECHUATE-34-DIOXYGENASE-RXN	R01631
PROTOCATECHUATE-45-DIOXYGENASE-RXN	R01632
1.3.1.53-RXN	R01633
34-DIHYDROXYPHTHALATE-DECARBOXYLASE-RXN	R01634
45-DIHYDROXYPHTHALATE-DECARBOXYLASE-RXN	R01635
4-SULFOBENZOATE-34-DIOXYGENASE-RXN	R01636
XYLULOKIN-RXN	R01639
1TRANSKETO-RXN	R01641
4-HYDROXYBUTYRATE-DEHYDROGENASE-RXN	R01644
4-HYDROXY-2-KETOPIMELATE-LYSIS-RXN	R01645
4-HYDROXY-2-KETOPIMELATE-LYSIS-RXN	R01647
RXN-14146	R01647
GABATRANSAM-RXN	R01648
3.5.1.29-RXN	R01649
2KETO-4METHYL-PENTANOATE-DEHYDROG-RXN	R01651
RXN-7800	R01652
METHENYLTHFCYCLOHYDRO-RXN	R01655
TRYPTOPHAN-DIMETHYLALLYLTRANSFERASE-RXN	R01657
GPPSYN-RXN	R01658
DIMETHYLALLYLCISTRANSFERASE-RXN	R01659
GLUCOSE-16-BISPHOSPHATE-SYNTHASE-RXN	R01660
BISPHOSPHOGLYCERATE-MUTASE-RXN	R01662
DCMP-DEAMINASE-RXN	R01663
RXN0-5292	R01664
RXN-7913	R01665
RXN-14093	R01666
RXN-14187	R01667
DCTP-PYROPHOSPHATASE-RXN	R01668
2.1.2.8-RXN	R01669
DEOXYCYTIDYLATE-C-METHYLTRANSFERASE-RXN	R01670
GUANINE-DEAMINASE-RXN	R01676
RXN0-366	R01677
LACTOSE-DEHYDRO-RXN	R01680
HYPOTAURINE-DEHYDROGENASE-RXN	R01681
CYSTAUR-RXN	R01682
TAUROPINE-DEHYDROGENASE-RXN	R01683
RXN-2301	R01684
BUTYRATE-KINASE-RXN	R01688
2-ENOATE-REDUCTASE-RXN	R01689
SORBOSE-5-DEHYDROGENASE-NADP+-RXN	R01694
L-SORBOSE-OXIDASE-RXN	R01695
SORBOSE-DEHYDROGENASE-RXN	R01696
D-SORBITOL-DEHYDROGENASE-RXN	R01697
1.8.1.4-RXN	R01698
RXN0-1134	R01699
1.2.4.4-RXN	R01701
FATTY-ACID-PEROXIDASE-RXN	R01703
RXN-16655	R01704
3.1.2.22-RXN	R01705
RXN-9549	R01706
PYRIDOXAL-4-DEHYDROGENASE-RXN	R01707
PYRIDOXINE-4-DEHYDROGENASE-RXN	R01708
PYRIDOXAL-OXIDASE-RXN	R01709
RXN-14203	R01710
PYRIDOXINE-4-OXIDASE-RXN	R01711
2.6.1.30-RXN	R01712
PYROXALTRANSAM-RXN	R01713
CHORISMATE-SYNTHASE-RXN	R01714
CHORISMATEMUT-RXN	R01715
PABASYN-RXN	R01716
ISOCHORSYN-RXN	R01717
3.2.1.10-RXN	R01718
RXN-7637	R01720
NICOTINATE-N-METHYLTRANSFERASE-RXN	R01721
NICOTINATE-GLUCOSYLTRANSFERASE-RXN	R01722
NICOTINATEPRIBOSYLTRANS-RXN	R01724
PREPHENATEDEHYDROG-RXN	R01728
PREPHENATE-DEHYDROGENASE-NADP+-RXN	R01730
PREPHENATE-ASP-TRANSAMINE-RXN	R01731
RIBOFLAVINASE-RXN	R01732
LACTALDEHYDE-OXI-RXN	R01735
GLYOXII-RXN	R01736
GLUCONOKIN-RXN	R01737
GLUCONATE-5-DEHYDROGENASE-RXN	R01738
1.1.1.215-RXN	R01739
GLUCONATE-5-DEHYDROGENASE-RXN	R01740
RXN-14204	R01741
GLUCONATE-2-DEHYDROGENASE-RXN	R01742
RXN0-5289	R01745
TSA-REDUCT-RXN	R01747
PHOSPHOGLYCERATE-PHOSPHATASE-RXN	R01748
1.1.1.92-RXN	R01749
1.1.1.92-RXN	R01750
TARTRATE-DECARBOXYLASE-RXN	R01751
